permco,year,company,industry,roa,csrsustainabilityreportingscore,csrsustainabilityexternalauditor
90,2014,AMERICAN EXPRESS CO,"Finance, Insurance, And Real Estate",,,0
655,2013,BIO RAD LABORATORIES INC,Manufacturing,,,0
655,2014,BIO RAD LABORATORIES INC,Manufacturing,,,0
655,2015,BIO RAD LABORATORIES INC,Manufacturing,,,0
655,2016,BIO RAD LABORATORIES INC,Manufacturing,,,0
655,2017,BIO RAD LABORATORIES INC,Manufacturing,,,0
655,2018,BIO RAD LABORATORIES INC,Manufacturing,,,0
655,2019,BIO RAD LABORATORIES INC,Manufacturing,,,0
5780,2013,COOPER COMPANIES INC; COOPERVISION INC,Manufacturing,,,0
5780,2014,COOPER COMPANIES INC; COOPERVISION INC,Manufacturing,,,0
5780,2015,COOPER COMPANIES INC; COOPERVISION INC,Manufacturing,,,0
5780,2016,COOPER COMPANIES INC; COOPERVISION INC,Manufacturing,,,0
5780,2017,COOPER COMPANIES INC; COOPERVISION INC,Manufacturing,,,0
5780,2018,COOPER COMPANIES INC; COOPERVISION INC,Manufacturing,,,0
5780,2019,COOPER COMPANIES INC; COOPERVISION INC,Manufacturing,,,0
5780,2020,COOPER COMPANIES INC; COOPERVISION INC,Manufacturing,,,0
6137,2013,RAYMOND JAMES FINANCIAL INC; R J FINANCIAL CO,"Finance, Insurance, And Real Estate",,,0
6137,2014,RAYMOND JAMES FINANCIAL INC; R J FINANCIAL CO,"Finance, Insurance, And Real Estate",,,0
6137,2015,RAYMOND JAMES FINANCIAL INC; R J FINANCIAL CO,"Finance, Insurance, And Real Estate",,,0
6137,2016,RAYMOND JAMES FINANCIAL INC; R J FINANCIAL CO,"Finance, Insurance, And Real Estate",,,0
6137,2017,RAYMOND JAMES FINANCIAL INC; R J FINANCIAL CO,"Finance, Insurance, And Real Estate",,,0
6137,2018,RAYMOND JAMES FINANCIAL INC; R J FINANCIAL CO,"Finance, Insurance, And Real Estate",,,0
6262,2014,CARDINAL HEALTH INC; CARDINAL DISTRIBUTION INC,Wholesale Trade,,,0
6333,2013,PAYCHEX INC,Services,,,0
6333,2014,PAYCHEX INC,Services,,,0
6333,2015,PAYCHEX INC,Services,,,0
6333,2016,PAYCHEX INC,Services,,,0
6333,2017,PAYCHEX INC,Services,,,0
6333,2018,PAYCHEX INC,Services,,,0
6333,2019,PAYCHEX INC,Services,,,0
6407,2013,FRANKLIN RESOURCES INC,"Finance, Insurance, And Real Estate",,,0
6407,2014,FRANKLIN RESOURCES INC,"Finance, Insurance, And Real Estate",,,0
6748,2013,ATMOS ENERGY CORP; ENERGAS CO,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
6748,2014,ATMOS ENERGY CORP; ENERGAS CO,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
6748,2015,ATMOS ENERGY CORP; ENERGAS CO,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
6748,2016,ATMOS ENERGY CORP; ENERGAS CO,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
6748,2017,ATMOS ENERGY CORP; ENERGAS CO,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
7232,2013,EXPEDITORS INTERNATIONAL WA INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",,,0
7267,2013,UNITEDHEALTH GROUP INC; UNITED HEALTHCARE CORP,"Finance, Insurance, And Real Estate",,,0
7267,2014,UNITEDHEALTH GROUP INC; UNITED HEALTHCARE CORP,"Finance, Insurance, And Real Estate",,,0
7267,2015,UNITEDHEALTH GROUP INC; UNITED HEALTHCARE CORP,"Finance, Insurance, And Real Estate",,,0
7267,2016,UNITEDHEALTH GROUP INC; UNITED HEALTHCARE CORP,"Finance, Insurance, And Real Estate",,,1
7864,2013,HENRY JACK & ASSOC INC,Services,,,0
7864,2014,HENRY JACK & ASSOC INC,Services,,,0
7864,2015,HENRY JACK & ASSOC INC,Services,,,0
7864,2016,HENRY JACK & ASSOC INC,Services,,,0
7864,2017,HENRY JACK & ASSOC INC,Services,,,0
7864,2018,HENRY JACK & ASSOC INC,Services,,,0
7864,2019,HENRY JACK & ASSOC INC,Services,,,0
7864,2020,HENRY JACK & ASSOC INC,Services,,,0
7902,2015,MONSTER BEVERAGE CORP NEW; MONSTER BEVERAGE CORP; HANSEN NATURAL CORP; UNIPAC CORP; CONTINENTAL VENTURES INC; FIRST STOP PROFESSIONAL SVCS,Manufacturing,,,0
7902,2016,MONSTER BEVERAGE CORP NEW; MONSTER BEVERAGE CORP; HANSEN NATURAL CORP; UNIPAC CORP; CONTINENTAL VENTURES INC; FIRST STOP PROFESSIONAL SVCS,Manufacturing,,,0
7902,2017,MONSTER BEVERAGE CORP NEW; MONSTER BEVERAGE CORP; HANSEN NATURAL CORP; UNIPAC CORP; CONTINENTAL VENTURES INC; FIRST STOP PROFESSIONAL SVCS,Manufacturing,,,0
