"Brand","Store Number","Name","Ownership Type","Facility ID","Features - Products","Features - Service","Features - Stations","Food Region","Venue Type","Phone Number","Location","Street Address","Street Line 1","Street Line 2","City","State","Zip","Country","Coordinates","Latitude","Longitude","Insert Date","gross_profit"
"Starbucks",11182,"Haverhill, 1116 Main St","Company Owned",18106,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot","Drive-Through",9999,"Unknown","978-372-3485","1116 Main Street
Haverhill, MA 01830-1413
(42.807206, -71.102071)","1116 Main Street","1116 Main Street",NA,"Haverhill","MA","01830-1413","US","(42.807206, -71.102071)",42.807206,-71.102071,"06/22/2012 06:17:10 PM",6160
"Starbucks",7329,"Newburyport","Company Owned",16075,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","978-462-4475","23 Market Square
Newburyport, MA 01950-2571
(42.811138, -70.869501)","23 Market Square","23 Market Square",NA,"Newburyport","MA","01950-2571","US","(42.811138, -70.869501)",42.811138,-70.869501,"06/22/2012 06:17:10 PM",1255
"Starbucks",76864,"Target Haverhill T-2325","Licensed",6510,NA,"Starbucks Card Mobile",NA,9999,"Unknown","978-377-9003","35 Computer Dr
Haverhill, MA 01832-1236
(42.786955, -71.115836)","35 Computer Dr","35 Computer Dr",NA,"Haverhill","MA","01832-1236","US","(42.786955, -71.115836)",42.786955,-71.115836,"06/22/2012 06:17:10 PM",7485
"Starbucks",7570,"Methuen/The Loop","Company Owned",11932,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","978-681-5284","90 Pleasant Valley St, Unit 170
Methuen, MA 01844-7289
(42.744153230002, -71.157345224281)","90 Pleasant Valley St, Unit 170","90 Pleasant Valley St","Unit 170","Methuen","MA","01844-7289","US","(42.744153230002, -71.157345224281)",42.744153230002,-71.157345224281,"06/22/2012 06:17:10 PM",8470
"Starbucks",76855,"Target Methuen T-2287","Licensed",6511,NA,"Starbucks Card Mobile",NA,9999,"Unknown","978-983-0013","67 Pleasant Valley St
Methuen, MA 01844-7202
(42.741881, -71.160069)","67 Pleasant Valley St","67 Pleasant Valley St",NA,"Methuen","MA","01844-7202","US","(42.741881, -71.160069)",42.741881,-71.160069,"06/22/2012 06:17:10 PM",1064
"Starbucks",7773,"N Andover/Rte 114","Company Owned",8898,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","978-975-7229","562 Turnpike Street
North Andover, MA 01845-5812
(42.665865, -71.115143)","562 Turnpike Street","562 Turnpike Street",NA,"North Andover","MA","01845-5812","US","(42.665865, -71.115143)",42.665865,-71.115143,"06/22/2012 06:17:10 PM",6963
"Starbucks",885,"Andover","Company Owned",13579,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","978-475-7752","14 Main Street
Andover, MA 01810-3702
(42.656393, -71.140289)","14 Main Street","14 Main Street",NA,"Andover","MA","01810-3702","US","(42.656393, -71.140289)",42.656393,-71.140289,"06/22/2012 06:17:10 PM",9633
"Starbucks",7450,"Beverly","Company Owned",12297,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",NA,9999,"Unknown","978-922-0885","29 Enon Street
Beverly, MA 01915-1115
(42.585366, -70.88444)","29 Enon Street","29 Enon Street",NA,"Beverly","MA","01915-1115","US","(42.585366, -70.88444)",42.585366,-70.88444,"06/22/2012 06:17:10 PM",9642
"Starbucks",14996,"UMASS - Lowell","Licensed",66223,NA,NA,NA,0,"Unknown",NA,"1 Solomont Way
Lowell, MA 01854-5120
(42.641549, -71.334888)","1 Solomont Way","1 Solomont Way",NA,"Lowell","MA","01854-5120","US","(42.641549, -71.334888)",42.641549,-71.334888,"06/22/2012 06:17:10 PM",1899
"Starbucks",5107,"Target Lowell T-2480","Licensed",11012,NA,"Starbucks Card Mobile",NA,9999,"Unknown","978-703-2020","199 Plain St
Lowell, MA 01852-5132
(42.62462, -71.31845)","199 Plain St","199 Plain St",NA,"Lowell","MA","01852-5132","US","(42.62462, -71.31845)",42.62462,-71.31845,"06/22/2012 06:17:10 PM",3496
"Starbucks",11848,"Beverly, 242 Elliott St","Company Owned",10506,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile","Drive-Through",9999,"Unknown","978-927-0748","242 Elliott St.
Beverly, MA 01915-2419
(42.556249, -70.890407)","242 Elliott St.","242 Elliott St.",NA,"Beverly","MA","01915-2419","US","(42.556249, -70.890407)",42.556249,-70.890407,"06/22/2012 06:17:10 PM",5394
