idno,essround,male,age,edu,eth_major,income_10,cntry,vote,country,p5,cyear,ccode,scode,year,flag,fragment,democ,autoc
15906,2010,0,14,1,1,2,GR,3,Greece,0,3502010,350,GRC,2010,0,0,10,0
21168,2010,0,14,1,1,2,IE,3,Ireland,0,2052010,205,IRE,2010,0,0,10,0
40,2010,0,14,1,NA,8,LT,3,Lithuania,0,3682010,368,LIT,2010,0,0,10,0
2108,2010,0,14,1,1,NA,RU,3,Russian Federation,NA,NA,NA,NA,NA,NA,NA,NA,NA
519,2010,0,14,1,1,NA,IL,2,Israel,0,6662010,666,ISR,2010,0,3,7,1
2304,2010,0,14,1,1,NA,ES,3,Spain,0,2302010,230,SPN,2010,0,0,10,0
290,2010,0,14,1,1,NA,PT,2,Portugal,0,2352010,235,POR,2010,0,0,10,0
3977,2010,0,14,1,1,NA,BG,3,Bulgaria,1,3552010,355,BUL,2010,0,0,9,0
23244,2010,0,14,1,1,NA,IE,2,Ireland,0,2052010,205,IRE,2010,0,0,10,0
19417,2010,0,14,1,1,NA,IE,3,Ireland,0,2052010,205,IRE,2010,0,0,10,0
1586,2010,0,14,1,NA,NA,UA,3,Ukraine,0,3692010,369,UKR,2010,0,0,6,0
5615,2010,0,14,2,1,2,GR,3,Greece,0,3502010,350,GRC,2010,0,0,10,0
238,2010,0,14,2,NA,2,IL,3,Israel,0,6662010,666,ISR,2010,0,3,7,1
1695,2010,0,14,2,1,3,HR,2,Croatia,1,3442010,344,CRO,2010,0,0,9,0
1859,2010,0,14,2,1,3,UA,2,Ukraine,0,3692010,369,UKR,2010,0,0,6,0
3117,2010,0,14,2,1,5,RU,3,Russian Federation,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,2010,0,14,2,1,7,UA,3,Ukraine,0,3692010,369,UKR,2010,0,0,6,0
1394,2010,0,14,2,0,8,CZ,3,Czech Republic,1,3162010,316,CZR,2010,0,0,9,0
154,2010,0,14,2,1,9,UA,3,Ukraine,0,3692010,369,UKR,2010,0,0,6,0
3755,2010,0,14,2,0,NA,RU,3,Russian Federation,NA,NA,NA,NA,NA,NA,NA,NA,NA
3965,2010,0,14,2,0,NA,BG,3,Bulgaria,1,3552010,355,BUL,2010,0,0,9,0
17977,2010,0,14,2,1,NA,IE,3,Ireland,0,2052010,205,IRE,2010,0,0,10,0
